	  Vārds	  Uzvārds	  Nosaukums
91.	Aiva	Vīksna	Frakcija “APVIENOTAIS SARAKSTS”
92.	Andrejs	Vilks	Zaļo un Zemnieku savienības frakcija
93.	Juris	Viļums	Frakcija “APVIENOTAIS SARAKSTS”
94.	Jānis	Vitenbergs	Frakcija “Nacionālā apvienība”
95.	Jānis	Vucāns	Zaļo un Zemnieku savienības frakcija
96.	Agita	Zariņa-Stūre	Frakcija JAUNĀ VIENOTĪBA
97.	Viesturs	Zariņš	Frakcija JAUNĀ VIENOTĪBA
98.	Edgars	Zelderis	Pie frakcijām nepiederošie deputāti
99.	Didzis	Zemmers	Zaļo un Zemnieku savienības frakcija
100.	Edmunds	Zivtiņš	Frakcija LATVIJA PIRMAJĀ VIETĀ

